text,emotion,act,topic
oh damn there s another traffic jam on the highway __eou__ how can there be a traffic jam on a lane highway every day __eou__ there are just too many people and too many cars __eou__ i wonder if there was an accident __eou__ no they just said it too many people were trying to get off at the capitol exits __eou__ well let s put on some music we re going to be stuck in this for a while __eou__ all right what do you want to listen to __eou__ how about some beatles __eou__ yeah all right __eou__,1 0 0 0 0 0 0 0 4,1 2 1 2 1 3 2 3 4,1
that looks like a bad accident __eou__ yeah should we get out and help __eou__ no there s a police car behind us he ll stop __eou__ looks like the one guy lost control in all this rain and the other one hit him __eou__ yeah it s pretty bad that car looks like a coke can __eou__ these accidents always because traffic jams on rainy days __eou__ yeah it looks like we re in for a long drive __eou__ ah well put on the news i got up late and missed it __eou__ all right __eou__,0 0 0 0 5 0 0 0 0,1 3 4 1 1 1 1 3 4,1
i need to find a new place to live __eou__ yeah why don t you like living with me __eou__ oh it s not you i just want my own place __eou__ well check the newspaper __eou__ jeez i didn t realize a single bedroom apartment went for so much these days __eou__ yeah prices have really gone up the past couple of years __eou__ oh here s one it s looks like its in this neighborhood a month that s not to bad __eou__ no it s pretty good why not give the landlord a call __eou__ hello i m calling about the one bedroom in lincoln park could i take a look at it yes tonight at six is fine thanks __eou__,0 6 0 0 6 0 4 4 4,1 2 1 3 4 1 1 3 4,1
hi i m mary smith __eou__ hello i m the landlord john taylor __eou__ nice to meet you mr taylor __eou__ please call me john __eou__ o k john well can i have a look at the place __eou__ sure come on it we just finished rebuilding everything __eou__ oh it hasn t been painted yet __eou__ no we re going to get that done next week __eou__ well it s certainly nice you ve done a great job __eou__ thank you __eou__ the rent is a month __eou__ that s right __eou__ well i think i ll take it can i write you a check for the security deposit now __eou__ yeah but why don t you come by your office tomorrow to sign the lease __eou__ that would be fine __eou__ thank you see you tomorrow __eou__ see you __eou__,0 0 4 0 0 4 0 0 4 4 0 0 0 0 4 4 4,1 1 1 3 3 4 1 1 1 1 2 1 3 3 4 1 1,1
let s try to get out of the supermarket quickly __eou__ yeah i hate spending all day in there too __eou__ what do we need let s make a list __eou__ we need milk eggs butter coffee vegetables fruit bread cheese and some snacks __eou__ i want some pickles oh and we re out of flour put that on the list too __eou__ anything else __eou__ not that i can think of wait a second we re out of breakfast cereal i think corn flakes are on sale get those __eou__ no you get those i ll go and get the fruits vegetables milk butter and eggs you get the rest __eou__,0 0 0 0 0 0 0 0,3 4 3 4 3 2 3 4,1
hi mike where are you going __eou__ i m going to down town __eou__ at this time why don t you go there tomorrow it is almost dark __eou__ my boy wants me to buy a toy so i think i d better satisfy him __eou__ but i have seen many toys in your home __eou__ there is none now because he likes to destroy toys __eou__ but if he always destroys toys and asks you to buy new ones what will you do __eou__ yes i am annoyed by this too __eou__ and you still buy him new ones __eou__ yes i think so __eou__ you will spoil him __eou__,0 0 6 0 0 0 0 0 0 0 0,2 1 2 1 1 1 2 1 2 1 1,1
hi john __eou__ oh hi mary come on in any problem __eou__ oh no problem __eou__ great i forgot to ask you though how long did you want the place __eou__ six months __eou__ oh well that might be a problem i usually only sign one year leases __eou__ well one year would be fine too i m not planning on leaving the area anytime soon __eou__ well if it s not a problem then here you go __eou__ just let me look at it quickly __eou__ of course __eou__ looks like a standard lease __eou__ yeah and don t worry about the security deposit if everything s all right when you move out you ll get it back __eou__ o k great just sign and date it here __eou__ yes thanks you can move your stuff in tomorrow __eou__ wonderful __eou__,0 0 0 4 0 0 0 0 0 4 0 0 0 4 4,1 2 1 2 1 1 1 1 3 4 1 1 2 1 1,1
this is a nice place but you need to get some furniture __eou__ i have some i can bring from our place and there s some more out at my parents __eou__ do you have a bed __eou__ yeah i have one from college at my parents house __eou__ can i take a shower __eou__ sure but i don t have hot water yet __eou__ really __eou__ no they re coming tomorrow morning to turn the gas on my phone should be working then too __eou__ well do you want to go get some dinner __eou__ yeah i can t cook anything until tomorrow anyway __eou__,0 0 0 0 0 0 6 0 0 0,1 1 2 1 3 4 2 1 2 1,1
you should save some money on parking here __eou__ yeah i don t have to pay for a space on the street __eou__ really how long did it take you to find a spot yesterday __eou__ well last night it took me half an hour to find a spot when i came home from work __eou__ you get home late don t you __eou__ yeah around seven most of the street parking is gone by then __eou__ ah well you can t have everything __eou__ yeah i can live with it it s great to be living alone __eou__,0 0 6 0 0 0 0 4,3 4 2 1 2 1 1 1,1
is that you bob __eou__ sorry he s on another phone will you hold __eou__ oh i m sorry i think i ll call later thank you __eou__,0 0 4,2 3 4,1
hello this is mike here may i have a word with grace __eou__ she s not at her desk at the moment is there any message i can give her __eou__ yes please tell her that tickets to phantom of the opera will be delivered in two days my number is extension __eou__ ok i ll let her know as soon as possible __eou__ thanks a lot bye __eou__,0 0 0 0 4,3 2 3 4 1,1
can you put me through to may flower restaurant please __eou__ just a second sorry the line is engaged __eou__ ok i ll try later thanks anyway __eou__ you re welcome __eou__,0 0 4 4,3 4 1 1,1
could you tell me where you put my book __eou__ which book your cookbook __eou__ no a walk in the woods __eou__ isn t it on the bookshelf __eou__ no the bookshelf is full of fashion books __eou__ then have you put it in the bedroom __eou__ no now would you like to help me look for the book __eou__ ok look it s just near your foot __eou__ oh very good __eou__,0 0 0 0 0 0 0 6 4,3 2 1 2 1 2 2 3 4,1
excuse me which way is to the post office __eou__ the post officesorry i m not sure __eou__ well thanks any way __eou__,0 5 4,2 1 1,1
dear time is up let s go there now __eou__ just a minute i m putting on my clothes __eou__ have you taken the key to the door __eou__ yes oh dear i can t find my hairbrushes can you help me __eou__ where have you put it __eou__ i put it in the dressing room __eou__ are you sure __eou__ yes quite sure __eou__ then have you looked downstairs __eou__ yes i ve looked everywhere downstairs __eou__ look dear it s over there __eou__ where __eou__ on the floor __eou__,0 0 0 6 0 0 0 0 0 0 4 0 0,3 4 3 3 2 1 2 1 2 1 1 2 1,1
hello __eou__ hello debbie this is donald __eou__ oh hi donald __eou__ what happened yesterday you forgot our date didn t you __eou__ well it rained hard all day and i had a bad cold so i decided to stay home __eou__ you did but i tried to call you at least twenty times and nobody answered __eou__ oh the telephone lines were damaged by the storm they repaired them yesterday __eou__ what did david do yesterday did he and judy go dancing __eou__ no they stayed home and played cards with the children __eou__ and what did you do did you play cards too __eou__ no i listened to records and studied what did you do yesterday donald __eou__ i just told you debbie i tried to call you twenty times __eou__,0 0 0 0 0 6 0 0 0 0 0 1,1 1 1 2 1 2 1 2 1 2 2 1,1
excuse me can you tell me where main street is __eou__ turn left at the second light and then go straight for two blocks __eou__ is it far __eou__ no it s only five minutes walk you can t miss it __eou__ thanks a lot __eou__ you are welcome __eou__,0 0 0 0 4 4,3 4 2 1 1 1,1
so am i on the right road to piccadilly circus __eou__ i think so because i remember the policeman told me this is the very way __eou__ what did he say __eou__ just head straight up the street about two blocks and then turn left __eou__ that s it i think we re one block beyond __eou__,0 0 0 0 4,2 1 2 1 1,1
how far is this address from here please __eou__ let me see go straight on then take the first turning on the left __eou__ so how long does it take __eou__ twenty minutes walk at most __eou__,0 0 0 0,3 4 2 1,1
sorry to bother you but i m having a small problem i thought you might be able to help me with __eou__ sure paula shoot __eou__ well it is about ms connors the landlord of our rented house __eou__ yeah what happened __eou__ the dishwasher broke down i had the repair done and deducted the cost from the rent check __eou__ and so __eou__ she is threatening to evict us for not paying the full rent __eou__ hold on paula it does sound pretty serious but i m sure you can work this out __eou__ well you are over at the law school so i wondered if you would mind coming with me when we talk to ms connors we re supposed to meet with her tomorrow night at eight __eou__ sure i d be glad to help you straighten things out why don t i stop by at about seven thirty __eou__ thanks a million you are a lifesaver __eou__,5 0 0 0 0 0 0 0 0 4 4,3 4 1 2 1 1 3 4 3 3 4,1
hello can i speak to alice please __eou__ hold on please __eou__ thank you __eou__ sorry but she s out __eou__ could you tell her tom green called __eou__ i d be glad to __eou__,0 0 4 5 0 4,3 3 4 4 3 4,1
hello oriental hotel __eou__ i d like to speak to marked baker please __eou__ i m sorry mr baker s not in may i take your message __eou__ yes tell him mr cook called and ask him to return my called as soon as he back __eou__ alright mr cook i have mr baker called you back as soon as he gets here __eou__,0 0 5 0 0,1 3 3 3 4,1
would you mind telling me if this is the right way to the police station __eou__ i m afraid you re going in the opposite direction __eou__ should i take a bus __eou__ i think a cab is better __eou__,0 5 0 0,3 4 2 1,1
hello i sent out my laundry yesterdayaren t they ready __eou__ they will be ready by this afternoon __eou__ oh no i am leaving for japan at this morning __eou__ is that right we are very sorry __eou__ i thought it was the same day serviceanyway please do hurry __eou__ i am afraid we cannot return it by of the clock __eou__ well then would you send it to japan please __eou__ yes we will do so __eou__,0 0 6 5 0 5 0 0,2 1 1 2 3 4 3 4,1
hello may i speak to mary please __eou__ speaking who s calling please __eou__ hi mary this is tom __eou__ oh hi tom how have you been __eou__ just fine i see aren t you busying tomorrow evening __eou__ let me see akha no i guess i ll be free __eou__ well why not dine out together and go to the moves __eou__ sounds like a good idea __eou__ ok i l l pick you up at o clock __eou__ thank you for your inviting me see you then bye tom __eou__,0 0 0 0 4 0 0 4 0 4,3 3 4 2 2 1 3 4 3 4,1
what sort of accommodation can you supply for me __eou__ we have got a beautiful two double room with a bath an shower __eou__,0 4,2 1,1
excuse me siryou are not supposed to smoke here __eou__ i beg your pardon __eou__ your seat is in the nonsmoking sectionso please refrain from smoking __eou__ oh i seesince i am a heavy smoker may i change my seat __eou__ then i will try to find a seat in the smoking sectionone moment please thank you for waiting i found a seat in the smoking section for you __eou__ oh did you thanks a lot __eou__,0 0 0 0 0 4,3 2 1 3 4 2,1
why are not you doing well in the class __eou__ the material is so abstract that i have trouble understanding it __eou__,0 0,2 1,1
is this the central park to east market bus __eou__ this is the east market to central park bus where do you want to go __eou__ to the ministry government hall __eou__ take the same number bus going other direction there s stop right cross the street __eou__ thank you __eou__,0 0 0 0 4,2 2 1 3 4,1
good there is the information desk how do we get to seventieth street please __eou__ the northern line is what you want __eou__ how much is it __eou__ it s two yuan __eou__ which way do we go for the northern line __eou__ just go through the number eight to ticket barrier over there a train will be in directly __eou__ i appreciate it thank you __eou__ that s all right __eou__,0 0 0 0 0 0 4 4,3 4 2 1 2 3 4 1,1
excuse mewould you like a drink before your meal __eou__ pardon me __eou__ would you like a drink __eou__ oh i see i will have beer please __eou__ okhere you are __eou__ thank youhow much is it __eou__ well all the drinks including beer are free of charge __eou__ are you sure then i will have more beer please __eou__ do not worrywe will come back again a little later __eou__,0 0 0 0 0 4 0 6 0,3 2 3 3 4 2 1 3 4,1
what s the cheapest way to go there __eou__ by subway __eou__ oh is that right is there a subway station near here __eou__ yes there s one on the other side of the building __eou__ good can i walk through this building __eou__ i m afraid you can t you ve to go out there and walk around __eou__ i see thank you __eou__,0 0 0 0 4 4 4,2 1 2 1 3 4 1,1
excuse me this bus goes down town doesn t it __eou__ yes where do you want to go __eou__ the worker stadium __eou__ this is the right bus __eou__ do you let me know where to get off __eou__ certainly four more stops after this i ll call out the stops __eou__ thank you __eou__,0 0 0 0 0 4 4,2 2 1 1 3 4 1,1
well it s not as crowded as we excepted is it __eou__ no but it will be soon look there are two empty seats over there let s get them before somebody else does __eou__ yes let s __eou__ now let s make ourselves comfortable since we have got quiet a long way to go __eou__ that s a good idea __eou__,0 0 0 0 4,2 3 4 3 4,1
you should not let the dirty dishes accumulate in the sink __eou__ i know i should wash them right away __eou__,2 0,3 4,1
i m going to bihai park is this the right bus please __eou__ no you re going the wrong way you want to from the beijing zoo __eou__ how can i get it please __eou__ you get off at the next stop cross the street and you will find the stop not far on the right hand side __eou__ could i have a transfer please __eou__ here you are __eou__ thank you __eou__,0 0 0 0 0 0 4,2 1 2 1 3 4 1,1
morning mum __eou__ morning meg you look not well today are you ill __eou__ no i am not ill __eou__ then what s the matter with you my child __eou__ nothing __eou__ oh come on baby tell me what happened __eou__ i i failed to pass the examination how i wish i had studied hard __eou__ oh take it easy you can set your aim from today __eou__ ok mum i will not fail the examination next time __eou__,0 0 0 0 0 0 3 0 0,1 2 1 2 1 3 4 3 4,1
something s burning __eou__ oh my bread __eou__ mm i love burnt bread __eou__ curse this oven curse it __eou__ but i prefer burnt bread __eou__ curse the worst oven in the world __eou__ wonderful a perfect piece of bread __eou__ there are thirteen of them oh have another have a third if you like have them all __eou__,0 6 4 1 0 1 4 0,2 1 1 1 1 1 1 3,1
is there any meat __eou__ yes just tinned meat __eou__ is it chicken __eou__ no it s beef __eou__ is it ready to eat __eou__ well you d better heat it before you eat it __eou__,0 0 0 0 0 0,2 1 2 1 2 3,1
what are you thinking __eou__ i m thinking about where we shall spend our vocation __eou__ it s about o clock let s have our breakfast first __eou__ ok dearwe will be late __eou__ what do you want __eou__ a ham salad sandwich __eou__ sorry i didn t prepare this __eou__ then i d like some eggs and bread for breakfast instead __eou__ ok i ll have it sent to you immediately __eou__,0 0 0 0 0 0 5 0 0,2 1 3 4 2 1 1 3 4,1
hey don t walk on the lawn __eou__ sorry i m looking for my wallet __eou__ you lost your wallet anything important in it __eou__ yes a lot of cash almost forty thousand pounds __eou__ oh i m sorry to hear that i think you d better talk to the police officer walking there __eou__ it seems that is a better way thank you __eou__ you are welcome __eou__,0 5 0 0 5 4 4,3 4 2 1 3 4 1,1
hello is this the abc company __eou__ yesmay i help you __eou__ we have just arrived from tokyo and we have been looking for our reserved car of your company all over but we cannot find it __eou__ what is your reservation number __eou__ our reservation number is j __eou__ let me seeoh yeswe have your reservation number __eou__ you mean you have not arranged any car __eou__ i am sorry to say no __eou__ here i will take a taxi insteadhow do you refund us __eou__,0 0 0 0 0 0 0 5 0,2 2 3 2 1 4 2 1 2,1
i ve just found a mouse in the house __eou__ ow don t shout so loud calm down please stop shouting and sit quietly down __eou__ i found a mouse in our house a grown mouse running around the dinning room __eou__ where is it now __eou__ it s under the couch __eou__ now move the couch around and turn it upside down __eou__ ok i don t want a mouse in our house we have the tidiest house in the town __eou__ yes darling you are quite right __eou__,6 0 0 0 0 0 0 4,1 3 4 2 1 3 4 1,1
this is the last of the milk __eou__ i know i intent to go to the store today __eou__ would you get some that new cereal we saw advertise on tv __eou__ which one __eou__ you know the one with the silly art about how advisements have jump up and down __eou__ oh you mean kikois __eou__ yeah that s the one __eou__ well i ll see sometimes the store do not have some one of new kinds of cereal __eou__,0 0 0 0 0 0 0 0,3 4 3 2 1 1 1 4,1
excuse me what time does the next bus for boston leave __eou__ it leaves at __eou__ i see are there any seat available __eou__ just a moment please yes you can have a seat __eou__ good how much is it when we take it __eou__ it thirtyeight dollars __eou__ all right here s forty dollars __eou__ here s your ticket and change __eou__ thank you which gate should i go to for the bus __eou__ go to gate no please __eou__ thank you very much __eou__ don t mention it __eou__,0 0 0 4 4 0 0 0 4 0 4 4,2 1 2 1 2 1 3 4 2 1 1 1,1
i wonder what we should have for dinner this evening __eou__ are you asking me __eou__ yes i am i really don t feel much like cooking but the family must eat __eou__ well you know me i can always eat pizza or spagetti __eou__ so i have noticed you are putting on a little weight aren t you __eou__ i know don t remind me i m starting a new diet the day after tomorrow __eou__ it s about time __eou__,0 0 0 0 0 0 0,3 2 1 4 2 1 1,1
let s see if we can reach some sort of agreement over your curfew __eou__ ok every one asks their parents let them stay out until or in the morning __eou__ well i m not everyoneelse s father i think you need be in the house by ten o clock __eou__ that s absurd i know some junior high kids who can stay out later than that __eou__ i ll be worried if you stay out late __eou__ ok how about midnight curfew and i will let you know where i am __eou__,0 0 0 0 0 0,3 4 3 4 1 3,1
it s time to get up __eou__ i just went to bed __eou__ you shouldn t stay up so late watching tv i told you we had to get an early start __eou__ i know but that movie was just too good to leave i guess i ll just have to pay the price antisleepy __eou__ do you want to eat breakfast here __eou__ no why don t we describe and buy at the coffee shop next door __eou__ ok by me __eou__,0 0 0 0 0 0 4,3 4 3 4 2 3 4,1
excuse me you look lostcan i help you __eou__ oh thank you i am looking for the train station __eou__ rightlet me seeyou go straight down here and turn right __eou__ right ok got it __eou__ then take the next left then the next rightare you with me __eou__ next left then right ok __eou__,0 4 0 0 0 0,3 3 3 4 2 1,1
hello __eou__ hello could i speak to sheerly lim please __eou__ sure just a secondwho s calling __eou__ this is sue from work __eou__ ok sue i will just go in get her __eou__,0 0 0 0 0,1 3 2 1 4,1
take me to this address please __eou__ yes madam here we are __eou__ how much do i owe you sir __eou__ dollars madam __eou__ are you kidding the meter says dollars does not it __eou__ yes but we need some extra charge and some tip too __eou__ i do not get it i will go and have that doorman talk to you then __eou__ ok madam calm down dollars will do __eou__,0 0 0 0 6 0 1 0,3 4 2 1 2 1 3 4,1
hello i bought the pendant in your shop just before __eou__ yesthank you very much __eou__ now i come back to the hotel and try to show it to my friend the pendant is broken i am afraid __eou__ oh is it __eou__ would you change it to a new one __eou__ yes certainlyyou have the receipt __eou__ yes i do __eou__ then would you kindly come to our shop with the receipt by of the clock we will replace it __eou__ thank you so much __eou__,0 4 0 0 0 4 0 0 4,1 1 3 2 3 2 1 3 4,1
excuse me how do i get to the grand hotel __eou__ i am sorry i didn t catch what you said could you repeat it please __eou__ the grand hotel is it far from here __eou__ sorry my english isn t so good could you speak a little slower __eou__,0 0 0 0,2 3 2 3,1
hello i bought a china dress in your shop this morning __eou__ yes __eou__ i bought it one size up by mistake __eou__ oh did you __eou__ i wonder if you can change it to one size down __eou__ yes of coursewill you come with the receipt __eou__ then i will come to your place later in the evening and how late is your shop open __eou__ until of the clock madam we are looking forward to seeing you __eou__,0 0 0 0 0 0 0 4,1 2 1 2 3 2 2 1,1
is your turn sir i m sorry that you have to wait saturday is busy day for us __eou__ i suppose so hair cut please __eou__ how so you want to your hair cut any particular way __eou__ i d just like to trim don t cut too short __eou__ yes sir how about the sideburns __eou__ i think they need a little trimming __eou__ can i use the clippers __eou__ no don t use them please __eou__ all right sir __eou__ would you trim off a bit there about the ear __eou__ don t you think it needs about a little taken off and talk to __eou__ oh yes that would be better __eou__ about like this __eou__ no not that much and yes that fine __eou__ shave also sir __eou__ yes __eou__ how do you want to your mustache trimmed __eou__,5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3 4 2 1 2 1 3 3 4 3 2 1 2 1 3 4 2,1
are you being served sir __eou__ no not yet i just want to hair cut __eou__ would you sit here please how would you like it cut __eou__ i want it short __eou__ what your short already sir __eou__ i mean very short shorter than it s now __eou__ should i just trim it __eou__ no you can cut quite a bit off i like it to be very short all over you see what i mean __eou__ oh i see you like chinese style don t you __eou__ yes and chinese style __eou__ would you like to have some shampoo sir __eou__ no thank you __eou__ how about oil or spray __eou__ no nothing will be kind __eou__ there how s that __eou__ that s very good __eou__,0 0 0 0 6 0 0 0 0 0 0 4 0 0 0 4,2 3 2 1 2 1 3 4 2 1 3 4 3 4 2 1,1
what kind of permanent would you like to have __eou__ what kinds do you have __eou__ oh yeah it s quite of variety regular cold perm straight perm pink curl and form __eou__ last time i tried a pink curl perm and form permanent set the wave a little loose than as usual please __eou__,0 0 0 0,2 2 1 3,1
what s the postage on this letter to hongkong please __eou__ oh i have to check do you need anything else __eou__ yes five one dollar stamps please __eou__ that will be fourteen dollars in all __eou__,0 0 0 0,3 2 1 4,1
three twentyfive cent stamps please __eou__ here you are seventyfive cent please __eou__ and please sent this letter by registered mail __eou__ is there anything valuable in it __eou__ there s a check of two hundred dollars and photograph __eou__ shall i make out a receipt __eou__ no don t bother __eou__ that ll be ninetyfive cents in all __eou__,0 0 0 0 0 0 0 0,3 4 3 2 1 2 1 4,1
would you tell me how i send this parcel to shanghai china it contains only books __eou__ you might send it as printed matter __eou__ i wonder if you could have ensured here __eou__ of course how much would you want to ensure this books for __eou__ let me see i think i can have the ensured five hundred dollars __eou__ five hundred dollars so you ll pay ten dollars for the insurance that s two percent of the total value of the article __eou__ here s the check for hen dollars __eou__,0 0 0 4 0 0 0,3 4 3 2 1 3 4,1
would you please wait this letter to see with the postages __eou__ do you want to sent this letter by ordinary or registered mail __eou__ by ordinary airmail please __eou__ anything valuable in it __eou__ a post order for four hundred dollars __eou__ in that case you d better have it registered __eou__ will i be informed that my friend gets the letter __eou__ yes when your friend gets it he ll sent the receipt which you send it by mail then you can be sure he s received __eou__ all right i have a registered then __eou__,0 0 0 0 0 0 0 0 0,3 2 1 2 1 3 2 1 4,1
next please hello may i help you sir __eou__ yes i want to send a registered airmail letter to france __eou__ ok it comes four dollars twenty cents __eou__ here is five dollars __eou__ here is your change please wait for your receipt of the registered mail __eou__ i also want to pack up my package this is the notes __eou__ let me see en just a minute here it is i need your signature on this note __eou__ oh one more thing where can i mail this letter __eou__ drop it in the mail box mark out of town at that corner __eou__ thank you very much __eou__ you re welcome __eou__,0 0 0 0 0 0 0 0 0 4 4,2 3 4 1 3 3 4 2 1 1 1,1
excuse me i have been waiting for my main dish for quite a time __eou__ yes sirjust a minute please i will check with the kitchen __eou__ thank you for waitingit takes another ten to fifteen minutes i am afraid __eou__ we have an appointment in half an hour __eou__ i see __eou__ do you have anything else i can have instead __eou__ well yeshow about beef stew we can serve you at once __eou__ i will take beef stew then __eou__,0 0 5 6 0 0 0 0,3 4 3 4 1 2 3 4,1
i will have sole then __eou__ all righthow about other guests __eou__ the rest of us will have this todays special please __eou__ ok __eou__ i am sorry but i ordered sole not the same as the otherswill you change it __eou__ i am afraid we have no more sole __eou__ then i will have this pork cute instead __eou__ certainlyjust a moment sir __eou__,0 0 0 0 0 0 0 4,3 2 1 4 2 1 3 4,1
excuse mewe ordered too muchmay we take the food home __eou__ yes surely __eou__ do we have to pay extra charge for that __eou__ no you do not it is free of charge __eou__ well then will you put this and that into doggie bags __eou__ yes certainlywould you wait for a few minutes __eou__ thankswould you do me another favor __eou__ yes what is it __eou__ some more chinese tea for us please __eou__ sure i will be back in a minute __eou__,0 4 0 0 0 4 0 0 0 4,3 4 2 1 3 3 3 2 1 4,1
will you bring our bill please __eou__ yes certainly i will be back in a minute here you are __eou__ thankslet me see i think there is a mistake on the bill herewould you mind checking please __eou__ of course notlet me checkoh you seem bo be correct __eou__ how about tax and service charge __eou__ only ten percent tax is included in the bill __eou__ then one hundred you s dollars covers everything does not it __eou__ it sure does __eou__,0 0 4 0 0 0 0 0,3 4 3 4 2 1 2 1,1
excuse memy bag was stolenwill you help me __eou__ when did it happen __eou__ just about half an hour ago __eou__ tell me where it happened and how __eou__ yesit was just when i was walking in the park i saw some children with a newspaper __eou__ that happens often these dayswell please fill in this report of theft __eou__ i want to get in touch with the chinese embassy because my passport was in the stolen bag __eou__,0 0 0 0 0 0 0,2 2 1 2 1 3 4,1
excuse me how can i get to the post office please __eou__ well turn left at the first corner after the crossroad it is near the corner you cannot miss it __eou__ thank you very much __eou__ it is my pleasure __eou__,0 0 4 4,3 3 4 4,1
where are you going __eou__ take me to the center station please __eou__ ok here we go __eou__ do you think you can get me there seven thirty __eou__ we should not have any trouble if we do not get stuck in the traffic jam __eou__ hope we have good luck __eou__ here we are you still get plenty of time that is please __eou__ thank you very much here is keep the change please __eou__,0 0 0 0 0 0 0 4,2 3 4 2 1 1 3 4,1
hellois this abc rentacar company __eou__ yes speakingmay i help you __eou__ this morning we rented a car and we are on the way to niagara falls i am afraid we have a car accident near the border __eou__ that is too badwhat kind of accident is it are you all right __eou__ i am all right but my friend is seriously injuredwill you call an ambulance and the police __eou__ ok i will do it right away but tell me how it happened __eou__ i ran into the guardrail when i turned to the left __eou__,0 0 0 5 0 0 0,2 2 1 2 3 2 1,1
excuse me could you tell me where the post office is __eou__ sure if you get on this road and turn left at the second intersection you will see it on your righthand side __eou__ thank you so much for your assistance __eou__ you are welcome __eou__,0 4 4 4,3 3 4 1,1
hello excuse me __eou__ hello is there anything i can help you with __eou__ yes i want to know where i can get on the bus going downtown __eou__ go straight then turn right and you will see a big bus station there __eou__ ok i see thank you __eou__ you are welcome __eou__,0 0 0 0 4 4,1 2 2 3 4 1,1
excuse me what time is it my watch stopped __eou__ let me see it is __eou__ is your watch right __eou__ i think so i set it by the radio this morning __eou__ by the way can you tell me what the date it is today and what day it is please __eou__ well it is the th and on the tuesday __eou__,0 0 0 0 0 0,2 1 2 1 2 1,1
may i take your order now sir __eou__ yes please i would like to start with a chef s salad __eou__ chef s salad for starter and what would you like to have for the main course __eou__ i will have steak __eou__ how would you like your steak done __eou__ medium __eou__ and what would you like to go with your steak __eou__ peas and carrots __eou__ potatoes __eou__ boiled __eou__ thank you __eou__,0 0 0 0 0 0 0 0 0 0 4,3 3 2 1 2 1 2 1 2 1 1,1
mom i want to move out __eou__ hey sounds great to me kid what kind of job did you find __eou__ job __eou__ yes job if you re going to live on your own you have to pay for rent and everything else __eou__ i thought i could just get you and dad to pay for an apartment i found a cheap one __eou__ when you move out your father and i aren t paying your rent young man get a job __eou__ you re right if i m going to live on my own i have to be independent __eou__ well the newspaper is over there look in the want ads but i don t know what you re going to find without a college degree __eou__,0 4 6 0 0 0 0 0,1 2 2 1 1 3 4 1,1
waiter a menu please __eou__ here you are __eou__ thank you could you tell me the specials today __eou__ the special today is fried chicken and beef is good too __eou__ ok let us think about it for a minute __eou__ well i will be back in a minute __eou__,0 0 4 0 0 0,3 4 3 4 3 4,1
hi there s a problem with this stereo i d like to return it please __eou__ what s the problem __eou__ the tape player doesn t work __eou__ o k do you have your receipt __eou__ yes here you are __eou__ thank you do you want your money back or would you like to exchange it __eou__ i think i d like to just get another stereo please __eou__ o k here s a receipt for store credit just take it back to the stereo section and one of our salesmen will help you __eou__ thanks a lot __eou__ no problem thank you __eou__,0 0 0 0 0 4 0 0 4 4,3 2 1 2 1 2 1 3 4 1,1
i d like to buy these shoes __eou__ o k let me see that will be __eou__ the price tag says __eou__ yes miss but there is a five percent sales tax in maryland __eou__ oh of course how silly of me to forget __eou__ no problem how would you like to pay for these __eou__ i think i have the cash let me check yes here you are __eou__ your change is thanks very much __eou__ thank you __eou__,0 0 6 0 6 4 0 4 4,3 4 2 1 1 2 3 4 1,1
o k so where do you think we can save more money __eou__ well we could eat in more that for entertainment is mostly going to restaurants __eou__ yeah that s a good idea and you like to cook what about the books __eou__ no i need my books __eou__ come on if we save more money we can retire earlier and you ll actually have time to read all those books you buy __eou__ well what about the you spent on a shirt you could ve gotten something for less __eou__ o k let s compromise if you agree to only spend on books i ll agree to only spend for my next shirt __eou__ all right that sounds fair __eou__,0 0 4 0 0 0 0 4,2 1 2 1 1 3 4 1,1
that dress is too expensive __eou__ but it s so pretty __eou__ yes it is pretty but it costs what about this one it s almost the same but it costs half as much __eou__ it s not the same it s completely different __eou__ it s just a little shorter __eou__ i really like this one __eou__ well it s your money you can spend it however you want do you really think it s pretty __eou__ yeah it s pretty __eou__,0 4 0 0 0 4 0 4,1 1 3 4 1 1 3 1,1
do you drive a car yourself __eou__ yes i just bought new car i drive to work everyday __eou__ great when you become new driver you are better drive as carefully as possible __eou__ sure i see safety is most important thing accident is awful i will take your advice __eou__ besides traffic signal in downtown area are very annoying are they __eou__ yes definitely you cannot drive freely __eou__ now we are out of the town you can drive freely __eou__ compare with speaking yes but things are not good as you expecting __eou__ why not __eou__ can you see that road side help __eou__ yes we are going to across real road __eou__ that is right we have to slow down again if we have not meet the passing tree we have to stop a car away __eou__ what other signs what we see in road area like this __eou__ there are a plenty of signs such as watch for children __eou__,0 4 4 4 0 0 4 0 0 0 0 0 0 0,2 1 3 4 2 1 3 4 2 3 4 1 2 1,1
good afternoon miss can i help you __eou__ yes i d like to buy this dress please __eou__ it s certainly a pretty dress i can ring you up at the register over here __eou__ great __eou__ will you be paying by cash check or credit card __eou__ i want to use a credit card do you take discover __eou__ sorry no we only take mastercard or visa __eou__ i ll put it on my visa card then __eou__ very well ma am oh there seems to be a problem it says it s rejected __eou__ there must be something wrong with the system try my mastercard __eou__ alright thank you yes it seems to be working fine your total is sign here please __eou__ sure __eou__ here you go and here s your receipt have a nice day __eou__ thanks you have a good one too __eou__,0 0 0 4 0 0 5 0 0 0 4 4 4 4,2 3 4 1 2 2 1 3 4 3 3 4 1 1,1
